Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",S08,"['what', 'religions', 'has', 'egypt', 'outlawed']","['<sos>', 'all', 'but', 'christianity', 'islam', 'and', 'judaism', '<eos>']","[10, 889, 40, 271, 2700]","[2, 89, 583, 1386, 522, 11, 2436, 3]","[10, 889, 40, 271, 2700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 89, 583, 1386, 522, 11, 2436, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the poulation of Egypt?,more than 78 million,S08,"['what', 'is', 'the', 'poulation', 'of', 'egypt']","['<sos>', 'more', 'than', '78', 'million', '<eos>']","[10, 7, 4, 2701, 5, 271]","[2, 72, 42, 1085, 156, 3]","[10, 7, 4, 2701, 5, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 72, 42, 1085, 156, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",S08,"['why', 'does', 'most', 'of', 'egypts', 'population', 'live', 'near', 'the', 'nile']","['<sos>', 'the', 'only', 'arable', 'agricultural', 'land', 'is', 'found', 'there', '<eos>']","[54, 23, 39, 5, 1630, 92, 83, 505, 4, 1631]","[2, 4, 217, 4457, 1944, 166, 7, 291, 41, 3]","[54, 23, 39, 5, 1630, 92, 83, 505, 4, 1631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 217, 4457, 1944, 166, 7, 291, 41, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Are there a large number of Jews living in Egypt today?,no,S08,"['are', 'there', 'a', 'large', 'number', 'of', 'jews', 'living', 'in', 'egypt', 'today']","['<sos>', 'no', '<eos>']","[15, 41, 9, 165, 91, 5, 1632, 273, 8, 271, 387]","[2, 16, 3]","[15, 41, 9, 165, 91, 5, 1632, 273, 8, 271, 387, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,S08,"['during', 'what', 'period', 'was', 'akhenaten', 'a', 'pharaoh']","['<sos>', 'the', 'new', 'kingdom', 'c155087221070', 'bc', '<eos>']","[101, 10, 572, 12, 2702, 9, 2703]","[2, 4, 126, 359, 4458, 482, 3]","[101, 10, 572, 12, 2702, 9, 2703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 126, 359, 4458, 482, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is Egypt in Asia?,No.,S08,"['is', 'egypt', 'in', 'asia']","['<sos>', 'no', '<eos>']","[7, 271, 8, 1142]","[2, 16, 3]","[7, 271, 8, 1142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Does Egypt receive the least rainfall in the world?,Yes.,S08,"['does', 'egypt', 'receive', 'the', 'least', 'rainfall', 'in', 'the', 'world']","['<sos>', 'yes', '<eos>']","[23, 271, 589, 4, 436, 1143, 8, 4, 61]","[2, 6, 3]","[23, 271, 589, 4, 436, 1143, 8, 4, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Does Egypt's foreign policy operates along moderate lines?,Yes.,S08,"['does', 'egypts', 'foreign', 'policy', 'operates', 'along', 'moderate', 'lines']","['<sos>', 'yes', '<eos>']","[23, 1630, 590, 2704, 2705, 355, 2706, 1144]","[2, 6, 3]","[23, 1630, 590, 2704, 2705, 355, 2706, 1144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Since when has Egypt been a republic?,June 18 1953.,S08,"['since', 'when', 'has', 'egypt', 'been', 'a', 'republic']","['<sos>', 'june', '18', '1953', '<eos>']","[295, 24, 40, 271, 60, 9, 296]","[2, 646, 852, 4459, 3]","[295, 24, 40, 271, 60, 9, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 646, 852, 4459, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,S08,"['when', 'were', 'the', 'great', 'sphinx', 'and', 'the', 'pyramids', 'of', 'giza', 'built']","['<sos>', 'during', 'the', 'old', 'kingdom', '<eos>']","[24, 58, 4, 566, 2707, 11, 4, 2708, 5, 2709, 506]","[2, 101, 4, 77, 359, 3]","[24, 58, 4, 566, 2707, 11, 4, 2708, 5, 2709, 506, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 101, 4, 77, 359, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",S08,"['what', 'countries', 'border', 'egypt']","['<sos>', 'libya', 'sudan', 'the', 'gaza', 'strip', 'and', 'israel', '<eos>']","[10, 385, 388, 271]","[2, 4460, 4461, 4, 1629, 1141, 11, 2023, 3]","[10, 385, 388, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4460, 4461, 4, 1629, 1141, 11, 2023, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the estimated population of Egypt?,More than 78 million.,S08,"['what', 'is', 'the', 'estimated', 'population', 'of', 'egypt']","['<sos>', 'more', 'than', '78', 'million', '<eos>']","[10, 7, 4, 719, 92, 5, 271]","[2, 72, 42, 1085, 156, 3]","[10, 7, 4, 719, 92, 5, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 72, 42, 1085, 156, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Does snow fall in Egypt?,Yes.,S08,"['does', 'snow', 'fall', 'in', 'egypt']","['<sos>', 'yes', '<eos>']","[23, 720, 890, 8, 271]","[2, 6, 3]","[23, 720, 890, 8, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When did organized agriculture appear in the Nile Valley?,6000 BC.,S08,"['when', 'did', 'organized', 'agriculture', 'appear', 'in', 'the', 'nile', 'valley']","['<sos>', '6000', 'bc', '<eos>']","[24, 14, 2710, 1145, 507, 8, 4, 1631, 1633]","[2, 4462, 482, 3]","[24, 14, 2710, 1145, 507, 8, 4, 1631, 1633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4462, 482, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Are elephants the largest land animals alive today?,yes,S08,"['are', 'elephants', 'the', 'largest', 'land', 'animals', 'alive', 'today']","['<sos>', 'yes', '<eos>']","[15, 182, 4, 48, 166, 242, 591, 387]","[2, 6, 3]","[15, 182, 4, 48, 166, 242, 591, 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Can an elephant kill a rhinoceros?,yes,S08,"['can', 'an', 'elephant', 'kill', 'a', 'rhinoceros']","['<sos>', 'yes', '<eos>']","[50, 22, 356, 1146, 9, 2711]","[2, 6, 3]","[50, 22, 356, 1146, 9, 2711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Are elephants good swimmers?,yes,S08,"['are', 'elephants', 'good', 'swimmers']","['<sos>', 'yes', '<eos>']","[15, 182, 891, 1147]","[2, 6, 3]","[15, 182, 891, 1147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many living species of African Elephants are there?,2,S08,"['how', 'many', 'living', 'species', 'of', 'african', 'elephants', 'are', 'there']","['<sos>', '2', '<eos>']","[17, 29, 273, 57, 5, 323, 182, 15, 41]","[2, 405, 3]","[17, 29, 273, 57, 5, 323, 182, 15, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 405, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How long may elephants live?,70 years,S08,"['how', 'long', 'may', 'elephants', 'live']","['<sos>', '70', 'years', '<eos>']","[17, 80, 316, 182, 83]","[2, 2445, 46, 3]","[17, 80, 316, 182, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2445, 46, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,S08,"['why', 'does', 'the', 'phrase', 'elephants', 'never', 'forget', 'have', 'no', 'metaphorical', 'meaning']","['<sos>', 'it', 'refers', 'literally', 'to', 'elephants', 'supposedly', 'having', 'an', 'excellent', 'memory', '<eos>']","[54, 23, 4, 1148, 182, 721, 2712, 21, 16, 2713, 892]","[2, 27, 1196, 4463, 13, 182, 4464, 2095, 22, 863, 4465, 3]","[54, 23, 4, 1148, 182, 721, 2712, 21, 16, 2713, 892, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 27, 1196, 4463, 13, 182, 4464, 2095, 22, 863, 4465, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
How many living species of Asian Elephants are there?,1,S08,"['how', 'many', 'living', 'species', 'of', 'asian', 'elephants', 'are', 'there']","['<sos>', '1', '<eos>']","[17, 29, 273, 57, 5, 722, 182, 15, 41]","[2, 635, 3]","[17, 29, 273, 57, 5, 722, 182, 15, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 635, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How much do elephants weight at birth?,120 kilograms,S08,"['how', 'much', 'do', 'elephants', 'weight', 'at', 'birth']","['<sos>', '120', 'kilograms', '<eos>']","[17, 197, 19, 182, 488, 36, 592]","[2, 4466, 2446, 3]","[17, 197, 19, 182, 488, 36, 592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4466, 2446, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What did Aristotle say about elephants?,the beast which passeth all others in wit and mind,S08,"['what', 'did', 'aristotle', 'say', 'about', 'elephants']","['<sos>', 'the', 'beast', 'which', 'passeth', 'all', 'others', 'in', 'wit', 'and', 'mind', '<eos>']","[10, 14, 1578, 893, 135, 182]","[2, 4, 4467, 45, 4468, 89, 1493, 8, 4469, 11, 2289, 3]","[10, 14, 1578, 893, 135, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 4467, 45, 4468, 89, 1493, 8, 4469, 11, 2289, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
Are elephant populations in West Africa generally small and fragmented?,yes,S08,"['are', 'elephant', 'populations', 'in', 'west', 'africa', 'generally', 'small', 'and', 'fragmented']","['<sos>', 'yes', '<eos>']","[15, 356, 593, 8, 324, 196, 437, 297, 11, 1634]","[2, 6, 3]","[15, 356, 593, 8, 324, 196, 437, 297, 11, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is the Asian elephant larger than the African?,no,S08,"['is', 'the', 'asian', 'elephant', 'larger', 'than', 'the', 'african']","['<sos>', 'no', '<eos>']","[7, 4, 722, 356, 162, 42, 4, 323]","[2, 16, 3]","[7, 4, 722, 356, 162, 42, 4, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is an elephant's skin tough?,yes,S08,"['is', 'an', 'elephants', 'skin', 'tough']","['<sos>', 'yes', '<eos>']","[7, 22, 182, 508, 2714]","[2, 6, 3]","[7, 22, 182, 508, 2714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How do elephants communicate over long distances?,by producing and receiving low frequency sound,S08,"['how', 'do', 'elephants', 'communicate', 'over', 'long', 'distances']","['<sos>', 'by', 'producing', 'and', 'receiving', 'low', 'frequency', 'sound', '<eos>']","[17, 19, 182, 1635, 247, 80, 723]","[2, 25, 2399, 11, 4470, 762, 4471, 238, 3]","[17, 19, 182, 1635, 247, 80, 723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 25, 2399, 11, 4470, 762, 4471, 238, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
When do African elephants lie down?,when they are sick or wounded,S08,"['when', 'do', 'african', 'elephants', 'lie', 'down']","['<sos>', 'when', 'they', 'are', 'sick', 'or', 'wounded', '<eos>']","[24, 19, 323, 182, 2715, 438]","[2, 24, 78, 15, 4472, 38, 4473, 3]","[24, 19, 323, 182, 2715, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 24, 78, 15, 4472, 38, 4473, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How long is the elephant's gestation period?,22 months,S08,"['how', 'long', 'is', 'the', 'elephants', 'gestation', 'period']","['<sos>', '22', 'months', '<eos>']","[17, 80, 7, 4, 182, 2716, 572]","[2, 1273, 562, 3]","[17, 80, 7, 4, 182, 2716, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1273, 562, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many species of African elephants have been proposed?,three,S08,"['how', 'many', 'species', 'of', 'african', 'elephants', 'have', 'been', 'proposed']","['<sos>', 'three', '<eos>']","[17, 29, 57, 5, 323, 182, 21, 60, 1636]","[2, 107, 3]","[17, 29, 57, 5, 323, 182, 21, 60, 1636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 107, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What are the elephant's ears important for?,temperature regulation,S08,"['what', 'are', 'the', 'elephants', 'ears', 'important', 'for']","['<sos>', 'temperature', 'regulation', '<eos>']","[10, 15, 4, 182, 1149, 267, 18]","[2, 428, 1639, 3]","[10, 15, 4, 182, 1149, 267, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 428, 1639, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What land animal has the largest brain?,elephant,S08,"['what', 'land', 'animal', 'has', 'the', 'largest', 'brain']","['<sos>', 'elephant', '<eos>']","[10, 166, 321, 40, 4, 48, 2717]","[2, 356, 3]","[10, 166, 321, 40, 4, 48, 2717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 356, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Are elephants mammals?,yes,S08,"['are', 'elephants', 'mammals']","['<sos>', 'yes', '<eos>']","[15, 182, 1113]","[2, 6, 3]","[15, 182, 1113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Have elephants been used as working animals?,yes,S08,"['have', 'elephants', 'been', 'used', 'as', 'working', 'animals']","['<sos>', 'yes', '<eos>']","[21, 182, 60, 55, 20, 1150, 242]","[2, 6, 3]","[21, 182, 60, 55, 20, 1150, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Do they prefer forested areas?,Yes,S08,"['do', 'they', 'prefer', 'forested', 'areas']","['<sos>', 'yes', '<eos>']","[19, 78, 1637, 1638, 354]","[2, 6, 3]","[19, 78, 1637, 1638, 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the world population of Asian elephants?,60000,S08,"['what', 'is', 'the', 'world', 'population', 'of', 'asian', 'elephants']","['<sos>', '60000', '<eos>']","[10, 7, 4, 61, 92, 5, 722, 182]","[2, 4474, 3]","[10, 7, 4, 61, 92, 5, 722, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4474, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What part of an elephant is very important for temperature regulation?,Ears,S08,"['what', 'part', 'of', 'an', 'elephant', 'is', 'very', 'important', 'for', 'temperature', 'regulation']","['<sos>', 'ears', '<eos>']","[10, 124, 5, 22, 356, 7, 439, 267, 18, 428, 1639]","[2, 1149, 3]","[10, 124, 5, 22, 356, 7, 439, 267, 18, 428, 1639, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1149, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Where was the largest elephant ever recorded shot?,Angola,S08,"['where', 'was', 'the', 'largest', 'elephant', 'ever', 'recorded', 'shot']","['<sos>', 'angola', '<eos>']","[31, 12, 4, 48, 356, 486, 1640, 1151]","[2, 4475, 3]","[31, 12, 4, 48, 356, 486, 1640, 1151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4475, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is an Asian elephant smaller than an African elephant?,yes,S08,"['is', 'an', 'asian', 'elephant', 'smaller', 'than', 'an', 'african', 'elephant']","['<sos>', 'yes', '<eos>']","[7, 22, 722, 356, 594, 42, 22, 323, 356]","[2, 6, 3]","[7, 22, 722, 356, 594, 42, 22, 323, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",S08,"['what', 'land', 'animal', 'is', 'larger', 'than', 'an', 'elephant']","['<sos>', 'none', 'the', 'elephant', 'is', 'the', 'largest', 'land', 'animal', '<eos>']","[10, 166, 321, 7, 162, 42, 22, 356]","[2, 1528, 4, 356, 7, 4, 48, 166, 321, 3]","[10, 166, 321, 7, 162, 42, 22, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1528, 4, 356, 7, 4, 48, 166, 321, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Has tusklessness become a rare abnormality?,No,S08,"['has', 'tusklessness', 'become', 'a', 'rare', 'abnormality']","['<sos>', 'no', '<eos>']","[40, 2718, 160, 9, 1641, 2719]","[2, 16, 3]","[40, 2718, 160, 9, 1641, 2719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Were the treaties signed in 1947 and 1948 with the Ukraine?,no,S08,"['were', 'the', 'treaties', 'signed', 'in', '1947', 'and', '1948', 'with', 'the', 'ukraine']","['<sos>', 'no', '<eos>']","[58, 4, 2720, 1642, 8, 2721, 11, 2722, 34, 4, 1643]","[2, 16, 3]","[58, 4, 2720, 1642, 8, 2721, 11, 2722, 34, 4, 1643, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,S08,"['is', 'finnish', 'a', 'member', 'of', 'the', 'balticfinnic', 'subgroup', 'of', 'the', 'uralic', 'languages']","['<sos>', 'yes', '<eos>']","[7, 440, 9, 163, 5, 4, 2723, 2724, 5, 4, 2725, 134]","[2, 6, 3]","[7, 440, 9, 163, 5, 4, 2723, 2724, 5, 4, 2725, 134, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is the most read newspaper in Finland Taloussanomat?,no,S08,"['is', 'the', 'most', 'read', 'newspaper', 'in', 'finland', 'taloussanomat']","['<sos>', 'no', '<eos>']","[7, 4, 39, 1644, 1645, 8, 219, 2726]","[2, 16, 3]","[7, 4, 39, 1644, 1645, 8, 219, 2726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Which Russian army general conquered Finland in 1809?,Alexander I,S08,"['which', 'russian', 'army', 'general', 'conquered', 'finland', 'in', '1809']","['<sos>', 'alexander', 'i', '<eos>']","[45, 1152, 509, 377, 2727, 219, 8, 2728]","[2, 1758, 453, 3]","[45, 1152, 509, 377, 2727, 219, 8, 2728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1758, 453, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the life expectancy for men in Finland?,75 years,S08,"['what', 'is', 'the', 'life', 'expectancy', 'for', 'men', 'in', 'finland']","['<sos>', '75', 'years', '<eos>']","[10, 7, 4, 198, 1153, 18, 510, 8, 219]","[2, 2447, 46, 3]","[10, 7, 4, 198, 1153, 18, 510, 8, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2447, 46, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In what year were the ""Games of the XV Olympiad"" held?",1952,S08,"['in', 'what', 'year', 'were', 'the', 'games', 'of', 'the', 'xv', 'olympiad', 'held']","['<sos>', '1952', '<eos>']","[8, 10, 113, 58, 4, 1646, 5, 4, 2729, 2730, 389]","[2, 4476, 3]","[8, 10, 113, 58, 4, 1646, 5, 4, 2729, 2730, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4476, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What body of water lies to the south of Finland?,the Gulf of Finland,S08,"['what', 'body', 'of', 'water', 'lies', 'to', 'the', 'south', 'of', 'finland']","['<sos>', 'the', 'gulf', 'of', 'finland', '<eos>']","[10, 274, 5, 99, 1647, 13, 4, 172, 5, 219]","[2, 4, 4477, 5, 219, 3]","[10, 274, 5, 99, 1647, 13, 4, 172, 5, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 4477, 5, 219, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",S08,"['name', 'an', 'animal', 'that', 'is', 'growing', 'in', 'number', 'due', 'to', 'recent', 'conservation', 'efforts']","['<sos>', 'golden', 'eagle', 'brown', 'bear', 'or', 'eurasian', 'lynx', 'change', 'imperative', 'to', 'interrogative', '<eos>']","[73, 22, 321, 35, 7, 1648, 8, 91, 1649, 13, 1650, 724, 1604]","[2, 678, 898, 1529, 237, 38, 1819, 2448, 2219, 4478, 13, 4479, 3]","[73, 22, 321, 35, 7, 1648, 8, 91, 1649, 13, 1650, 724, 1604, 0, 0, 0, 0, 0, 0, 0]","[2, 678, 898, 1529, 237, 38, 1819, 2448, 2219, 4478, 13, 4479, 3, 0, 0, 0, 0, 0, 0, 0]"
"Today, are there more cell phone subscriptions than people in Finland?",yes,S08,"['today', 'are', 'there', 'more', 'cell', 'phone', 'subscriptions', 'than', 'people', 'in', 'finland']","['<sos>', 'yes', '<eos>']","[387, 15, 41, 72, 894, 2731, 2732, 42, 103, 8, 219]","[2, 6, 3]","[387, 15, 41, 72, 894, 2731, 2732, 42, 103, 8, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is Matti Vanhanen the Prime Minister of Finland?,yes,S08,"['is', 'matti', 'vanhanen', 'the', 'prime', 'minister', 'of', 'finland']","['<sos>', 'yes', '<eos>']","[7, 2733, 2734, 4, 595, 596, 5, 219]","[2, 6, 3]","[7, 2733, 2734, 4, 595, 596, 5, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is the capital city Oslo?,no,S08,"['is', 'the', 'capital', 'city', 'oslo']","['<sos>', 'no', '<eos>']","[7, 4, 125, 43, 2735]","[2, 16, 3]","[7, 4, 125, 43, 2735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Does it have a border with Norway?,yes,S08,"['does', 'it', 'have', 'a', 'border', 'with', 'norway']","['<sos>', 'yes', '<eos>']","[23, 27, 21, 9, 388, 34, 1651]","[2, 6, 3]","[23, 27, 21, 9, 388, 34, 1651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the life expectancy for men?,75 years,S08,"['what', 'is', 'the', 'life', 'expectancy', 'for', 'men']","['<sos>', '75', 'years', '<eos>']","[10, 7, 4, 198, 1153, 18, 510]","[2, 2447, 46, 3]","[10, 7, 4, 198, 1153, 18, 510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2447, 46, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
