Question,Answer,source,question_tokens,answer_tokens,question_indices,answer_indices,question_padded,answer_padded
What Roman province was Liechtenstein part of?,Raetia.,S08,"['what', 'roman', 'province', 'was', 'liechtenstein', 'part', 'of']","['<sos>', 'raetia', '<eos>']","[10, 715, 811, 11, 159, 128, 5]","[2, 1401, 3]","[10, 715, 811, 11, 159, 128, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1401, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What Roman province was Liechtenstein part of?,Raetia,S08,"['what', 'roman', 'province', 'was', 'liechtenstein', 'part', 'of']","['<sos>', 'raetia', '<eos>']","[10, 715, 811, 11, 159, 128, 5]","[2, 1401, 3]","[10, 715, 811, 11, 159, 128, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1401, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many municipalities are within Oberland?,6.,S08,"['how', 'many', 'municipalities', 'are', 'within', 'oberland']","['<sos>', '6', '<eos>']","[17, 29, 812, 15, 1071, 2599]","[2, 651, 3]","[17, 29, 812, 15, 1071, 2599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 651, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How many municipalities are within Oberland?,6,S08,"['how', 'many', 'municipalities', 'are', 'within', 'oberland']","['<sos>', '6', '<eos>']","[17, 29, 812, 15, 1071, 2599]","[2, 651, 3]","[17, 29, 812, 15, 1071, 2599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 651, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is the smallest German-speaking country in the world?,Liechtenstein,S08,"['what', 'is', 'the', 'smallest', 'germanspeaking', 'country', 'in', 'the', 'world']","['<sos>', 'liechtenstein', '<eos>']","[10, 7, 4, 278, 1400, 115, 8, 4, 59]","[2, 159, 3]","[10, 7, 4, 278, 1400, 115, 8, 4, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 159, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861,S08,"['the', 'savings', 'and', 'loans', 'bank', 'was', 'founded', 'as', 'was', 'the', 'first', 'cottonweaving', 'mill', 'in', 'what', 'year']","['<sos>', '1861', '<eos>']","[4, 4004, 12, 1404, 4005, 11, 205, 20, 11, 4, 44, 4006, 4007, 8, 10, 144]","[2, 2214, 3]","[4, 4004, 12, 1404, 4005, 11, 205, 20, 11, 4, 44, 4006, 4007, 8, 10, 144, 0, 0, 0, 0]","[2, 2214, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What enjoys one of the world's highest standards of living?,Liechtenstein's population,S08,"['what', 'enjoys', 'one', 'of', 'the', 'worlds', 'highest', 'standards', 'of', 'living']","['<sos>', 'liechtensteins', 'population', '<eos>']","[10, 4008, 65, 5, 4, 1119, 629, 4009, 5, 219]","[2, 1142, 91, 3]","[10, 4008, 65, 5, 4, 1119, 629, 4009, 5, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1142, 91, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Does the state court rule on the conformity of laws?,Yes,S08,"['does', 'the', 'state', 'court', 'rule', 'on', 'the', 'conformity', 'of', 'laws']","['<sos>', 'yes', '<eos>']","[22, 4, 119, 676, 778, 28, 4, 2600, 5, 562]","[2, 6, 3]","[22, 4, 119, 676, 778, 28, 4, 2600, 5, 562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What do most recognizable international company and largest employer have in common?,They are Hilti.,S08,"['what', 'do', 'most', 'recognizable', 'international', 'company', 'and', 'largest', 'employer', 'have', 'in', 'common']","['<sos>', 'they', 'are', 'hilti', '<eos>']","[10, 18, 41, 4010, 304, 1141, 12, 45, 4011, 21, 8, 158]","[2, 71, 15, 5039, 3]","[10, 18, 41, 4010, 304, 1141, 12, 45, 4011, 21, 8, 158, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 71, 15, 5039, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is Liechtenstein heavily urbanized?,No,S08,"['is', 'liechtenstein', 'heavily', 'urbanized']","['<sos>', 'no', '<eos>']","[7, 159, 628, 1820]","[2, 16, 3]","[7, 159, 628, 1820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Liechtenstein completed in November 2000?,No,S08,"['was', 'liechtenstein', 'completed', 'in', 'november', '2000']","['<sos>', 'no', '<eos>']","[11, 159, 937, 8, 1290, 814]","[2, 16, 3]","[11, 159, 937, 8, 1290, 814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What completed in November?,the Kunstmuseum Liechtenstein,S08,"['what', 'completed', 'in', 'november']","['<sos>', 'the', 'kunstmuseum', 'liechtenstein', '<eos>']","[10, 937, 8, 1290]","[2, 4, 5040, 159, 3]","[10, 937, 8, 1290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 5040, 159, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The State Court rules what?,on the conformity of laws with the constitution,S08,"['the', 'state', 'court', 'rules', 'what']","['<sos>', 'on', 'the', 'conformity', 'of', 'laws', 'with', 'the', 'constitution', '<eos>']","[4, 119, 676, 1821, 10]","[2, 28, 4, 2600, 5, 562, 31, 4, 813, 3]","[4, 119, 676, 1821, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 28, 4, 2600, 5, 562, 31, 4, 813, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,S08,"['the', 'historical', 'society', 'of', 'the', 'principality', 'of', 'liechtenstein', 'plays', 'what']","['<sos>', 'a', 'role', 'in', 'preserving', 'the', 'culture', 'and', 'history', 'of', 'the', 'country', '<eos>']","[4, 1801, 930, 5, 4, 4012, 5, 159, 1405, 10]","[2, 9, 1034, 8, 5041, 4, 961, 12, 428, 5, 4, 115, 3]","[4, 1801, 930, 5, 4, 4012, 5, 159, 1405, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 9, 1034, 8, 5041, 4, 961, 12, 428, 5, 4, 115, 3, 0, 0, 0, 0, 0, 0, 0]"
Is the museum collection also the national art collection of Liechtenstein ?,Yes,S08,"['is', 'the', 'museum', 'collection', 'also', 'the', 'national', 'art', 'collection', 'of', 'liechtenstein']","['<sos>', 'yes', '<eos>']","[7, 4, 348, 670, 99, 4, 137, 703, 670, 5, 159]","[2, 6, 3]","[7, 4, 348, 670, 99, 4, 137, 703, 670, 5, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,S08,"['is', 'there', 'a', 'small', 'heliport', 'at', 'balzers', 'in', 'liechtenstein', 'available', 'for', 'charter', 'helicopter', 'flights']","['<sos>', 'yes', '<eos>']","[7, 40, 9, 242, 4013, 37, 4014, 8, 159, 815, 19, 2601, 4015, 4016]","[2, 6, 3]","[7, 40, 9, 242, 4013, 37, 4014, 8, 159, 815, 19, 2601, 4015, 4016, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Are nationals referred to by the plural : Liechtensteiners ?,Yes,S08,"['are', 'nationals', 'referred', 'to', 'by', 'the', 'plural', 'liechtensteiners']","['<sos>', 'yes', '<eos>']","[15, 4017, 806, 13, 27, 4, 1822, 4018]","[2, 6, 3]","[15, 4017, 806, 13, 27, 4, 1822, 4018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes,S08,"['is', 'it', 'a', 'winter', 'sports', 'resort', 'although', 'it', 'is', 'perhaps', 'best', 'known', 'as', 'a', 'tax', 'haven']","['<sos>', 'yes', '<eos>']","[7, 32, 9, 1084, 680, 2602, 1406, 32, 7, 2603, 274, 111, 20, 9, 2604, 4019]","[2, 6, 3]","[7, 32, 9, 1084, 680, 2602, 1406, 32, 7, 2603, 274, 111, 20, 9, 2604, 4019, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it a winter sports resort?,Yes,S08,"['is', 'it', 'a', 'winter', 'sports', 'resort']","['<sos>', 'yes', '<eos>']","[7, 32, 9, 1084, 680, 2602]","[2, 6, 3]","[7, 32, 9, 1084, 680, 2602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Is it the smallest german-speaking country in the world?,Yes,S08,"['is', 'it', 'the', 'smallest', 'germanspeaking', 'country', 'in', 'the', 'world']","['<sos>', 'yes', '<eos>']","[7, 32, 4, 278, 1400, 115, 8, 4, 59]","[2, 6, 3]","[7, 32, 4, 278, 1400, 115, 8, 4, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land,S08,"['what', 'happened', 'in', 'moravia', 'lower', 'austria', 'silesia', 'and', 'styria', 'though', 'in', 'all', 'cases', 'these', 'territories', 'were', 'held', 'in', 'fief', 'under', 'other', 'more', 'senior', 'feudal', 'lords']","['<sos>', 'the', 'liechtenstein', 'dynasty', 'acquired', 'vast', 'swaths', 'of', 'land', '<eos>']","[10, 151, 8, 4020, 716, 1407, 4021, 12, 4022, 1823, 8, 75, 1824, 816, 679, 60, 422, 8, 4023, 363, 102, 86, 4024, 4025, 4026]","[2, 4, 159, 3445, 2051, 1085, 5042, 5, 148, 3]","[10, 151, 8, 4020, 716, 1407, 4021, 12, 4022, 1823, 8, 75, 1824, 816, 679, 60, 422, 8, 4023, 363]","[2, 4, 159, 3445, 2051, 1085, 5042, 5, 148, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did Webster write, ""I can now sleep of nights""?",Yes.,S08,"['did', 'webster', 'write', 'i', 'can', 'now', 'sleep', 'of', 'nights']","['<sos>', 'yes', '<eos>']","[14, 2605, 938, 350, 50, 467, 817, 5, 1408]","[2, 6, 3]","[14, 2605, 938, 350, 50, 467, 817, 5, 1408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did Webster write, ""I can now sleep of nights""?",Yes,S08,"['did', 'webster', 'write', 'i', 'can', 'now', 'sleep', 'of', 'nights']","['<sos>', 'yes', '<eos>']","[14, 2605, 938, 350, 50, 467, 817, 5, 1408]","[2, 6, 3]","[14, 2605, 938, 350, 50, 467, 817, 5, 1408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,S08,"['was', 'the', 'arrival', 'of', 'louis', 'kossuth', 'exiled', 'leader', 'of', 'a', 'failed', 'hungarian', 'revolution', 'another', 'issue', 'that', 'presented', 'itself', 'during', 'fillmores', 'presidency']","['<sos>', 'yes', '<eos>']","[11, 4, 2606, 5, 2607, 2608, 2609, 695, 5, 9, 1766, 1825, 509, 385, 589, 38, 1826, 2610, 94, 1409, 449]","[2, 6, 3]","[11, 4, 2606, 5, 2607, 2608, 2609, 695, 5, 9, 1766, 1825, 509, 385, 589, 38, 1826, 2610, 94, 1409]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,S08,"['was', 'the', 'arrival', 'of', 'louis', 'kossuth', 'exiled', 'leader', 'of', 'a', 'failed', 'hungarian', 'revolution', 'another', 'issue', 'that', 'presented', 'itself', 'during', 'fillmores', 'presidency']","['<sos>', 'yes', '<eos>']","[11, 4, 2606, 5, 2607, 2608, 2609, 695, 5, 9, 1766, 1825, 509, 385, 589, 38, 1826, 2610, 94, 1409, 449]","[2, 6, 3]","[11, 4, 2606, 5, 2607, 2608, 2609, 695, 5, 9, 1766, 1825, 509, 385, 589, 38, 1826, 2610, 94, 1409]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes,S08,"['did', 'he', 'die', 'at', '1110', 'pm', 'on', 'march', '8', '1874', 'of', 'the', 'aftereffects', 'of', 'a', 'stroke']","['<sos>', 'yes', '<eos>']","[14, 34, 150, 37, 2611, 2612, 28, 556, 1143, 1827, 5, 4, 2613, 5, 9, 2614]","[2, 6, 3]","[14, 34, 150, 37, 2611, 2612, 28, 556, 1143, 1827, 5, 4, 2613, 5, 9, 2614, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",yes,S08,"['did', 'he', 'die', 'at', '1110', 'pm', 'on', 'march', '8', '1874', 'of', 'the', 'aftereffects', 'of', 'a', 'stroke']","['<sos>', 'yes', '<eos>']","[14, 34, 150, 37, 2611, 2612, 28, 556, 1143, 1827, 5, 4, 2613, 5, 9, 2614]","[2, 6, 3]","[14, 34, 150, 37, 2611, 2612, 28, 556, 1143, 1827, 5, 4, 2613, 5, 9, 2614, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who got Seward elected to the senate?,Weed,S08,"['who', 'got', 'seward', 'elected', 'to', 'the', 'senate']","['<sos>', 'weed', '<eos>']","[30, 1828, 1829, 244, 13, 4, 1830]","[2, 3446, 3]","[30, 1828, 1829, 244, 13, 4, 1830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3446, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Who got Seward elected to the senate?,Weed ultimately got Seward elected to the senate,S08,"['who', 'got', 'seward', 'elected', 'to', 'the', 'senate']","['<sos>', 'weed', 'ultimately', 'got', 'seward', 'elected', 'to', 'the', 'senate', '<eos>']","[30, 1828, 1829, 244, 13, 4, 1830]","[2, 3446, 3447, 1828, 1829, 244, 13, 4, 1830, 3]","[30, 1828, 1829, 244, 13, 4, 1830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3446, 3447, 1828, 1829, 244, 13, 4, 1830, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan,S08,"['where', 'was', 'commodore', 'matthew', 'c', 'perry', 'sent', 'to', 'open', 'japan', 'to', 'western', 'trade']","['<sos>', 'japan', '<eos>']","[25, 11, 1831, 1832, 533, 1833, 1360, 13, 451, 1144, 13, 314, 798]","[2, 1144, 3]","[25, 11, 1831, 1832, 533, 1833, 1360, 13, 451, 1144, 13, 314, 798, 0, 0, 0, 0, 0, 0, 0]","[2, 1144, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Commodore Matthew C. Perry send to Japan,S08,"['where', 'was', 'commodore', 'matthew', 'c', 'perry', 'sent', 'to', 'open', 'japan', 'to', 'western', 'trade']","['<sos>', 'commodore', 'matthew', 'c', 'perry', 'send', 'to', 'japan', '<eos>']","[25, 11, 1831, 1832, 533, 1833, 1360, 13, 451, 1144, 13, 314, 798]","[2, 1831, 1832, 533, 1833, 2557, 13, 1144, 3]","[25, 11, 1831, 1832, 533, 1833, 1360, 13, 451, 1144, 13, 314, 798, 0, 0, 0, 0, 0, 0, 0]","[2, 1831, 1832, 533, 1833, 2557, 13, 1144, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.,S08,"['what', 'is', 'the', 'remarkable', 'millard', 'fillmore']","['<sos>', 'a', 'fake', 'biography', 'based', 'on', 'real', 'events', 'that', 'happened', 'in', 'fillmores', 'life', '<eos>']","[10, 7, 4, 1834, 279, 117]","[2, 9, 3448, 3449, 431, 28, 3450, 1022, 38, 151, 8, 1409, 185, 3]","[10, 7, 4, 1834, 279, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 9, 3448, 3449, 431, 28, 3450, 1022, 38, 151, 8, 1409, 185, 3, 0, 0, 0, 0, 0, 0]"
What is The Remarkable Millard Fillmore?,"In 2007, George Pendle wrote The Remarkable Millard Fillmore, a fake biography based on real events that happened in Fillmore's life",S08,"['what', 'is', 'the', 'remarkable', 'millard', 'fillmore']","['<sos>', 'in', '2007', 'george', 'pendle', 'wrote', 'the', 'remarkable', 'millard', 'fillmore', 'a', 'fake', 'biography', 'based', 'on', 'real', 'events', 'that', 'happened', 'in', 'fillmores', 'life', '<eos>']","[10, 7, 4, 1834, 279, 117]","[2, 8, 1032, 1375, 5043, 742, 4, 1834, 279, 117, 9, 3448, 3449, 431, 28, 3450, 1022, 38, 151, 8, 1409, 185, 3]","[10, 7, 4, 1834, 279, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 8, 1032, 1375, 5043, 742, 4, 1834, 279, 117, 9, 3448, 3449, 431, 28, 3450, 1022, 38, 151, 8]"
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.,S08,"['did', 'fillmore', 'form', 'a', 'law', 'partnership', 'before', 'or', 'after', 'he', 'founded', 'the', 'private', 'university', 'of', 'buffalo']","['<sos>', 'before', '<eos>']","[14, 117, 254, 9, 141, 1835, 186, 36, 76, 34, 205, 4, 1410, 68, 5, 939]","[2, 186, 3]","[14, 117, 254, 9, 141, 1835, 186, 36, 76, 34, 205, 4, 1410, 68, 5, 939, 0, 0, 0, 0]","[2, 186, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Law partnership founded before University of Buffalo,S08,"['did', 'fillmore', 'form', 'a', 'law', 'partnership', 'before', 'or', 'after', 'he', 'founded', 'the', 'private', 'university', 'of', 'buffalo']","['<sos>', 'law', 'partnership', 'founded', 'before', 'university', 'of', 'buffalo', '<eos>']","[14, 117, 254, 9, 141, 1835, 186, 36, 76, 34, 205, 4, 1410, 68, 5, 939]","[2, 141, 1835, 205, 186, 68, 5, 939, 3]","[14, 117, 254, 9, 141, 1835, 186, 36, 76, 34, 205, 4, 1410, 68, 5, 939, 0, 0, 0, 0]","[2, 141, 1835, 205, 186, 68, 5, 939, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Fillmore run for President a second time?,Yes,S08,"['did', 'fillmore', 'run', 'for', 'president', 'a', 'second', 'time']","['<sos>', 'yes', '<eos>']","[14, 117, 699, 19, 69, 9, 272, 248]","[2, 6, 3]","[14, 117, 699, 19, 69, 9, 272, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Did Fillmore run for President a second time?,I don't know (semantic ambiguity),S08,"['did', 'fillmore', 'run', 'for', 'president', 'a', 'second', 'time']","['<sos>', 'i', 'dont', 'know', 'semantic', 'ambiguity', '<eos>']","[14, 117, 699, 19, 69, 9, 272, 248]","[2, 350, 1078, 5044, 5045, 3439, 3]","[14, 117, 699, 19, 69, 9, 272, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 350, 1078, 5044, 5045, 3439, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?,S08,"['how', 'long', 'after', 'the', 'death', 'of', 'his', 'first', 'wife', 'did', 'fillmore', 'marry', 'caroline', 'mcintosh']","['<sos>', 'where', 'is', 'the', 'death', 'date', 'of', 'his', 'first', 'wife', '<eos>']","[17, 82, 76, 4, 450, 5, 33, 44, 614, 14, 117, 361, 4027, 4028]","[2, 25, 7, 4, 450, 818, 5, 33, 44, 614, 3]","[17, 82, 76, 4, 450, 5, 33, 44, 614, 14, 117, 361, 4027, 4028, 0, 0, 0, 0, 0, 0]","[2, 25, 7, 4, 450, 818, 5, 33, 44, 614, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Millard Fillmore the thirteenth President of the United States?,yes,S08,"['was', 'millard', 'fillmore', 'the', 'thirteenth', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'yes', '<eos>']","[11, 279, 117, 4, 1302, 69, 5, 4, 87, 105]","[2, 6, 3]","[11, 279, 117, 4, 1302, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Was Millard Fillmore the thirteenth President of the United States?,yes,S08,"['was', 'millard', 'fillmore', 'the', 'thirteenth', 'president', 'of', 'the', 'united', 'states']","['<sos>', 'yes', '<eos>']","[11, 279, 117, 4, 1302, 69, 5, 4, 87, 105]","[2, 6, 3]","[11, 279, 117, 4, 1302, 69, 5, 4, 87, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Was Millard Fillmore born on January 7, 1800?",yes,S08,"['was', 'millard', 'fillmore', 'born', 'on', 'january', '7', '1800']","['<sos>', 'yes', '<eos>']","[11, 279, 117, 48, 28, 512, 1145, 466]","[2, 6, 3]","[11, 279, 117, 48, 28, 512, 1145, 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Was Millard Fillmore born on January 7, 1800?",yes,S08,"['was', 'millard', 'fillmore', 'born', 'on', 'january', '7', '1800']","['<sos>', 'yes', '<eos>']","[11, 279, 117, 48, 28, 512, 1145, 466]","[2, 6, 3]","[11, 279, 117, 48, 28, 512, 1145, 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did Millard Fillmore die on March 8, 1974?",no,S08,"['did', 'millard', 'fillmore', 'die', 'on', 'march', '8', '1974']","['<sos>', 'no', '<eos>']","[14, 279, 117, 150, 28, 556, 1143, 1836]","[2, 16, 3]","[14, 279, 117, 150, 28, 556, 1143, 1836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Did Millard Fillmore die on March 8, 1974?",no,S08,"['did', 'millard', 'fillmore', 'die', 'on', 'march', '8', '1974']","['<sos>', 'no', '<eos>']","[14, 279, 117, 150, 28, 556, 1143, 1836]","[2, 16, 3]","[14, 279, 117, 150, 28, 556, 1143, 1836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York",S08,"['where', 'was', 'millard', 'fillmore', 'born']","['<sos>', 'in', 'a', 'log', 'cabin', 'in', 'summerhill', 'new', 'york', '<eos>']","[25, 11, 279, 117, 48]","[2, 8, 9, 1416, 1417, 8, 1839, 112, 246, 3]","[25, 11, 279, 117, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 8, 9, 1416, 1417, 8, 1839, 112, 246, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York",S08,"['where', 'was', 'millard', 'fillmore', 'born']","['<sos>', 'in', 'a', 'log', 'cabin', 'in', 'summerhill', 'new', 'york', '<eos>']","[25, 11, 279, 117, 48]","[2, 8, 9, 1416, 1417, 8, 1839, 112, 246, 3]","[25, 11, 279, 117, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 8, 9, 1416, 1417, 8, 1839, 112, 246, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore,S08,"['to', 'whom', 'was', 'millard', 'fillmore', 'born', 'to']","['<sos>', 'to', 'nathaniel', 'and', 'phoebe', 'millard', 'fillmore', '<eos>']","[13, 598, 11, 279, 117, 48, 13]","[2, 13, 3451, 12, 3452, 279, 117, 3]","[13, 598, 11, 279, 117, 48, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 13, 3451, 12, 3452, 279, 117, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
